# compatible with norbert
# include german mainland, exclude german isles, international (some isles still included, but this is the data we have voronoi coverage for...)
#id	lon_korr	lat_korr	alt	area	name
11002	9.5500	54.5300	43	0.0326366	SCHLESWIG 
11003	9.9800	54.0900	26	0.0513503	NEU MUENSTER 
11004	9.1000	54.2100	12	0.0269635	HEIDE HOLSTEIN 
11005	8.6500	54.3000	4	0.0079262	SANKT PETER ORDINGEN 
11101	8.3300	54.6800	9	0.0009049	NORDDORF/AMRUM 
11102	8.7000	54.7300	1	0.0216683	DAGEBUELL 
11103	8.9800	54.6200	21	0.0286196	BREKLUM-RIDDORF 
11104	9.1500	54.6500	19	0.0711242	JOLDELUND 
11105	9.3300	54.5200	7	0.0530675	TREIA 
11106	9.7300	54.6300	23	0.0119714	BREBEL 
11107	9.9800	54.5300	32	0.0207396	KLEINWAABS 
11108	8.6000	54.3300	5	0.0035858	SANKT PETER-ORDINGEN 
11109	8.8700	54.5000	1	0.0316835	NORDSTRAND-OSTENDE 
11110	9.1000	54.3800	1	0.0410973	FRIEDRICHSTADT 
11111	9.3200	54.3000	18	0.0272705	ERFDE 
11112	9.6300	54.4300	35	0.0359081	BREKENDORF 
11113	9.7700	54.4000	15	0.0470141	GROSS WITTENSEE 
11114	9.5200	54.0700	30	0.0439088	OLDENBORSTEL 
11115	9.2800	54.1500	40	0.0186667	ALBERSDORF 
11116	9.3500	54.0500	16	0.0127500	BESDORF 
11117	8.8589	54.1273	7	0.0045525	BUESUM (WESTMOLENKOPF) 
11118	8.9000	54.6500	5	0.0256994	BUETTJEBUELL 
11119	9.6700	54.7800	22	0.0177619	DOLLERUP-STREICHMUEHLE 
11120	8.8800	54.0000	2	0.0077457	FRIEDRICHSKOOG 
11121	9.6000	54.8700	5	0.0222610	GLUECKSBURG-HOLNIS 
11122	9.5500	54.1700	26	0.0556464	HAALE 
11123	9.4000	54.1300	46	0.0186582	HANERAU-HADEMARSCHEN 
11124	9.1700	54.3000	11	0.0173721	HENNSTEDT 
11125	8.6800	54.8700	1	0.0274126	KLANXBUELL 
11126	9.1800	54.0700	8	0.0240354	KRUMSTEDT 
11127	8.5918	54.6392	6	0.0024058	LANGENESS 
11128	9.9300	54.4000	15	0.0310907	LINDAU-REVENSDORF 
11129	8.8000	54.5500	5	0.0025095	NORDSTRANDISCHMOOR 
11130	9.7700	54.6200	33	0.0320331	NOTTFELD 
11132	9.6200	54.7000	35	0.0313343	SATRUP 
11133	9.6300	54.5800	35	0.0155303	TOLK 
11134	8.9800	54.8700	15	0.0402777	WESTRE 
11135	8.3200	54.9000	3	0.0359215	WESTERLAND 
11137	8.6800	54.3800	1	0.0167958	WESTERHEVER 
11138	9.3000	54.3800	15	0.0244893	WOHLDE 
11139	8.9200	54.2000	3	0.0367364	SUEDERDEICH 
12001	10.4000	54.1600	24	0.0257948	PLOEN/SEE 
12002	11.0600	54.5300	3	0.0150029	WESTERMARKELSDORF 
12003	10.5900	54.1400	50	0.0407079	EUTIN 
12101	10.0300	54.6800	3	0.0213672	KAPPELN-SCHLEIMUENDE 
12102	11.7700	54.1300	32	0.0277407	KUEHLUNGSBORN,OST 
12103	10.0200	54.4300	15	0.0195815	OSDORF 
12104	10.3700	54.4000	7	0.0239063	SCHOENBERG IN HOLSTEIN 
12105	11.0800	54.3700	3	0.0433386	GROSSENBRODE 
12106	10.0500	54.1800	30	0.0437847	BORDESHOLM 
12107	10.4300	54.1700	26	0.0159880	PLOEN (MAX-PLAN) 
12108	10.5800	54.1300	49	0.0196164	EUTIN 
12109	10.8800	54.2200	14	0.0558829	LENSAHN 
12110	11.0300	54.2300	2	0.0204688	GRUBE 
12111	11.6700	54.0300	20	0.0262573	NEUBUKOW 
12112	10.2300	54.0700	40	0.0510223	BORNHOEVED 
12113	11.0071	53.9878	10	0.0156395	KALKHORST-GROSS SCHWANSE 
12114	10.4700	54.3500	40	0.0291538	KOEHN 
12115	10.4800	54.0300	31	0.0319231	SEEDORF,KR.SEGEBG.-BLOMN 
12116	10.1708	54.4409	2	0.0286972	STRANDE 
13001	13.4300	54.6800	42	0.0066473	ARKONA 
13002	13.4900	54.3700	40	0.0265325	PUTBUS 
13003	12.0783	54.1765	4	0.0386532	ROSTOCK-WARNEMUENDE 
13004	12.7100	54.3300	7	0.0217069	BARTH 
13005	13.4000	54.1000	2	0.0338812	GREIFSWALD 
13101	13.7700	54.0500	6	0.0469304	WOLGAST 
13102	12.4700	54.2700	7	0.0425414	RIBNITZ-DAMGARTEN 
13103	12.5700	54.4500	1	0.0175393	PREROW, OSTSEEBAD 
13104	12.7500	54.2800	7	0.0400729	ALTENHAGEN-STARKOW 
13105	13.0700	54.3000	13	0.0554332	STRALSUND 
13106	13.4300	54.4200	75	0.0310630	BERGEN/RUEGEN 
13107	13.6906	54.2966	10	0.0148131	GAGER-GROSS ZICKER 
13108	12.2300	54.2500	6	0.0209650	GRAAL-MUERITZ 
13109	12.2700	54.0500	45	0.0631476	PETSCHOW-GODOW 
13110	12.5700	54.1500	40	0.0397715	MARLOW 
13111	12.8000	54.0800	7	0.0513980	TRIBSEES (STADT) 
13112	13.0700	54.1200	15	0.0431116	GRIMMEN 
13113	13.6200	54.1200	31	0.0208406	WUSTERHUSEN 
13114	13.2500	54.4700	9	0.0518219	GINGST 
13115	13.5000	54.0200	34	0.0316062	GROSS KIESOW-SCHLAGTOW 
13116	13.2200	54.2000	25	0.0411803	MILTZOW 
13117	13.6200	54.5200	90	0.0198318	SASSNITZ 
13118	12.6800	54.4300	1	0.0138544	ZINGST, OSTSEEBAD 
14003	7.9000	53.5400	7	0.0333388	JEVER 
